"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-07-21",39079000,2278400,9922500,49539000,10977400,37604400,4953000,19685400,2030000,18431000
"2014-07-22",55197000,2888900,10423500,40398000,12770600,43095800,8167800,16837800,2595700,18153600
"2014-07-23",92918000,2687300,13881000,78435000,9681400,52362900,2466800,13220700,1566900,38622500
"2014-07-24",45729000,7088700,16257600,124168000,17726100,30725300,2660200,22105600,3093400,47391000
"2014-07-25",43469000,17846500,11250800,45917000,6517300,26737700,1658600,15980800,2468700,20143800
"2014-07-28",55318000,5932000,9402700,41725000,10698000,29684200,1708700,16781700,3058500,14607200
"2014-07-29",43143000,2883800,12015300,41324000,9162500,27763100,1326000,65338000,2775000,11570900
"2014-07-30",33010000,3969000,9101900,36853000,14563000,31921400,2180500,116195900,14646700,29876700
"2014-07-31",56843000,5192000,11514200,43992000,22907400,31537500,1974300,47170200,17569500,17937400
"2014-08-01",48511000,7441500,12844200,43535000,17740100,31170300,2706800,37194800,6969700,14573000
"2014-08-04",39958000,4200900,11999300,30777000,46099000,34277400,1526700,22425000,5696100,13097200
"2014-08-05",55933000,2852100,10997100,34986000,53367100,26266400,1521900,26404100,4151800,17636400
"2014-08-06",38558000,2296900,10209800,30986000,61931100,24634000,2262200,20355300,3280900,11770500
"2014-08-07",46711000,2935600,10049600,38141000,21728200,30314900,3901900,25389100,3797200,11306600
"2014-08-08",41865000,2705900,10326800,27202000,18850800,28942700,2213600,14967900,2216700,10593700
"2014-08-11",36585000,2468600,7929400,24591000,11621300,20351600,1892400,18420300,2980000,8660100
"2014-08-12",33795000,1915800,7719000,27419000,17509400,21431100,1549300,29582300,2261400,12902700
"2014-08-13",31916000,4945100,12375200,29266000,17266600,22889500,1294700,16180800,6598400,16532300
"2014-08-14",28116000,3420400,9930900,22207000,7972100,19313200,953800,23638900,4570600,8927300
"2014-08-15",48951000,3896700,13588900,38846600,13441500,41611300,3148100,17776700,5303800,13338900
"2014-08-18",47572000,2485400,8867400,23974000,14211600,26891100,1928000,14835400,4615500,20153200
"2014-08-19",69399000,1713800,8113400,26679000,9205400,28139500,1556800,11903400,2914200,17084900
"2014-08-20",52699000,1810500,7511600,22917000,10091900,24770500,1737700,10383200,4909200,12670300
"2014-08-21",33478000,1971100,50434100,20102000,6817700,22285500,1678100,10619300,2796500,12254900
"2014-08-22",44184000,2211200,11738200,20897000,6943100,18294500,1962200,19429800,3015900,14879100
"2014-08-25",40270000,1957700,6733700,19734000,5903000,16910000,1926400,17583500,3181500,14356400
"2014-08-26",33152000,3654700,8994500,23993000,10670200,14873100,1448200,27716200,2795300,9516800
"2014-08-27",52369000,2961600,7576900,36323000,7155400,21287900,1484900,26127600,2353300,24843000
"2014-08-28",68460000,2252700,9602900,21947000,11891000,17657600,1083500,35076300,1909600,16490600
"2014-08-29",44595000,1939500,8658500,26241000,16034900,21607600,1405500,31926900,1887800,11634100
"2014-09-02",53564000,2326000,11178500,34979000,24181300,22976800,1258100,28267200,3065400,19803300
"2014-09-03",125421000,1993700,8117300,32389000,16292900,33684500,2317000,34411200,3207200,16092900
"2014-09-04",85718000,3965600,13083500,26676000,12258500,26475500,1708400,24413100,2280100,14763300
"2014-09-05",58457000,2107000,16203700,29476000,14728900,36939400,1707600,20251400,2475500,26200400
"2014-09-08",46356700,2955300,9067200,28183000,17387800,45736700,1095500,30836400,1618800,75520200
"2014-09-09",189846300,4646800,20227700,28882000,16574100,40302400,2819700,25034400,1701500,52683000
"2014-09-10",100869600,3797400,31000400,29909000,17695600,27302400,1300700,38057700,2197300,30741800
"2014-09-11",62353100,2720200,16968200,32219000,12178400,29216400,1123600,38055400,1878300,25203000
"2014-09-12",64096900,3429300,42371100,26744000,12080500,38244700,1917900,22986500,1562600,69745500
"2014-09-15",61316500,4000400,12764800,49679000,12824700,37667600,2945300,38374100,3720000,72409900
"2014-09-16",66908100,3259900,13644100,37742000,10122400,27910600,3834100,26744800,3952200,61490700
"2014-09-17",60926500,4136000,11468000,28693000,9485700,38311900,1733300,22874400,1978400,39495500
"2014-09-18",37299400,2576900,12390200,23031000,8861000,35556600,1518600,22484800,1756400,93702100
"2014-09-19",70902400,6886200,20415400,76671000,19693000,202522400,1708700,38192600,2127700,233872100
"2014-09-22",52788400,3109700,9501400,31961000,11752100,38686100,2309900,21744400,3163700,109217100
"2014-09-23",63402200,2352600,11232500,36814000,16967800,33430300,1638800,19990500,2797500,66105300
